Player,Draft,Drafted,League,Birth Year,Age In Draft Yr,Listed Height,Height (in),GP,GS,MIN,PTS,FGM,FGA,FG%,ThreePtMade,ThreePtAttempts,ThreePtPercentage,FTM,FTA,FT%,OFF,DEF,TRB,AST,STL,BLK,TOV,PF,TS%,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,Total S,PPR,PPS,ORtg,DRtg,PER
Alessandro Gentile,2014,1,Euroleague,1992,22,6-6,78,21,16,25.00,11.43,4.24,9.57,0.44,1.00,3.00,0.33,1.95,3.05,0.64,0.57,1.86,2.43,2.33,0.81,0.10,2.00,2.43,0.52,0.50,2.91,10.04,6.37,18.78,15.49,1.87,0.40,25.55,141.67,-1.77,1.19,101.50,108.80,14.45
Nemanja Dangubić,2014,1,ABA,1993,21,6-9,81,26,26,25.20,9.58,3.62,8.08,0.45,0.88,3.00,0.30,1.31,2.00,0.65,0.81,2.73,3.54,2.00,0.81,0.15,1.85,3.23,0.54,0.50,4.04,12.55,8.47,13.89,17.09,1.75,0.62,19.76,139.63,-1.92,1.19,100.50,112.10,12.15
Louis Labeyrie,2014,1,France,1992,22,6-10,82,24,2,12.90,6.08,2.33,3.67,0.64,0.58,1.04,0.56,0.83,1.21,0.69,1.42,2.25,3.67,0.25,0.33,0.54,0.42,1.62,0.72,0.72,13.56,23.43,18.29,4.07,9.03,1.50,4.91,17.80,188.60,-1.94,1.66,138.70,104.10,25.58
Lucas Nogueira,2013,1,Spain,1992,21,7-0,84,34,5,13.60,5.41,2.24,3.38,0.66,0.00,0.00,0.00,0.94,1.41,0.67,1.68,1.76,3.44,0.26,0.47,1.12,0.56,1.82,0.68,0.66,15.54,16.67,16.10,3.51,12.25,1.94,9.12,16.04,132.75,-2.79,1.60,133.00,106.90,23.16
Dennis Schröder,2013,1,Germany,1993,20,6-3,75,32,14,25.30,12.00,4.03,9.56,0.42,1.31,3.28,0.40,2.62,3.16,0.83,0.69,1.81,2.50,3.19,0.91,0.03,2.53,1.94,0.55,0.49,3.48,9.66,6.49,25.90,18.77,2.10,0.13,27.16,165.33,-1.69,1.25,104.60,112.80,16.77
Sergey Karasev,2013,1,Russia,1993,20,6-7,79,23,17,29.50,13.74,4.26,9.83,0.43,1.48,5.00,0.30,3.91,4.83,0.81,0.70,2.87,3.57,2.43,0.91,0.35,2.09,2.61,0.58,0.51,3.03,13.33,8.01,14.96,14.87,1.69,1.16,22.46,154.01,-1.55,1.40,111.70,109.40,16.81
Rudy Gobert,2013,1,France,1992,21,7-1,85,27,19,22.70,8.44,3.30,4.59,0.72,0.00,0.11,0.00,1.85,2.63,0.70,2.11,3.26,5.37,0.41,0.67,1.78,1.52,2.15,0.73,0.72,11.81,18.79,15.25,3.28,20.89,1.66,7.41,16.01,142.20,-5.41,1.84,123.40,102.20,20.95
Livio Jean-Charles,2013,1,France,1993,20,6-9,81,29,15,13.80,3.31,1.38,2.55,0.54,0.21,0.48,0.43,0.34,0.59,0.59,1.03,1.66,2.69,0.52,0.48,0.14,0.62,1.10,0.59,0.58,10.79,15.64,13.34,6.41,18.09,2.05,1.05,12.87,155.73,-2.03,1.30,112.30,106.80,12.86
Glen Rice Jr,2013,1,G-League,1991,22,6-6,78,42,25,23.70,13.02,4.52,9.21,0.49,1.60,4.14,0.39,2.38,3.17,0.75,1.83,4.40,6.24,1.86,0.88,0.74,1.64,2.02,0.61,0.58,8.39,18.60,13.70,11.58,13.41,1.75,2.29,21.08,162.79,-1.63,1.41,120.70,103.00,20.47
Nemanja Nedović,2013,1,Lithuania,1991,22,6-3,75,18,14,21.30,11.11,3.89,7.83,0.50,1.28,3.28,0.39,2.06,2.61,0.79,0.28,2.11,2.39,3.83,1.17,0.22,1.72,1.89,0.62,0.58,1.63,13.83,7.40,32.36,16.09,3.04,1.17,23.69,167.35,4.06,1.42,121.80,100.20,23.61
